State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Year,Year Code,Births,% of Total Births,Average Age of Mother (years),Standard Deviation for Average Age of Mother
Alabama,1,30-34 years,30-34,Unknown or Not Stated,Unk,2018,2018,10,0.00%,31.4,1.2
Alabama,1,30-34 years,30-34,Unknown or Not Stated,Unk,2019,2019,12,0.00%,31.92,1.19
Alabama,1,30-34 years,30-34,Unknown or Not Stated,Unk,2022,2022,23,0.00%,32.13,1.62
Alabama,1,30-34 years,30-34,Unknown or Not Stated,Unk,2023,2023,24,0.00%,31.79,1.53
Alabama,1,35-39 years,35-39,8th grade or less,1,2018,2018,24,0.00%,37,1.29
Alabama,1,35-39 years,35-39,8th grade or less,1,2019,2019,39,0.00%,36.44,1.37
Alabama,1,35-39 years,35-39,8th grade or less,1,2020,2020,22,0.00%,36.36,1.19
Alabama,1,35-39 years,35-39,8th grade or less,1,2021,2021,28,0.00%,36.54,1.43
Alabama,1,35-39 years,35-39,8th grade or less,1,2022,2022,24,0.00%,36.83,1.31
Alabama,1,35-39 years,35-39,8th grade or less,1,2023,2023,31,0.00%,37.03,1.4
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,2018,2018,255,0.00%,36.54,1.34
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,2019,2019,257,0.00%,36.47,1.33
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,2020,2020,251,0.00%,36.67,1.37
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,2021,2021,238,0.00%,36.5,1.36
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,2022,2022,224,0.00%,36.39,1.35
Alabama,1,35-39 years,35-39,9th through 12th grade with no diploma,2,2023,2023,246,0.00%,36.54,1.42
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,2018,2018,830,0.00%,36.58,1.34
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,2019,2019,831,0.00%,36.54,1.32
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,2020,2020,942,0.01%,36.58,1.35
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,2021,2021,966,0.01%,36.49,1.35
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,2022,2022,914,0.01%,36.52,1.36
Alabama,1,35-39 years,35-39,High school graduate or GED completed,3,2023,2023,1073,0.01%,36.53,1.36
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,2018,2018,891,0.01%,36.55,1.39
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,2019,2019,949,0.01%,36.49,1.37
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,2020,2020,839,0.00%,36.45,1.34
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,2021,2021,928,0.01%,36.52,1.35
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,2022,2022,946,0.01%,36.55,1.35
Alabama,1,35-39 years,35-39,"Some college credit, but not a degree",4,2023,2023,922,0.01%,36.49,1.33
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,2018,2018,546,0.00%,36.58,1.35
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,2019,2019,539,0.00%,36.48,1.33
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,2020,2020,554,0.00%,36.48,1.35
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,2021,2021,575,0.00%,36.47,1.32
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,2022,2022,600,0.00%,36.58,1.36
Alabama,1,35-39 years,35-39,"Associate degree (AA, AS)",5,2023,2023,592,0.00%,36.5,1.36
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2018,2018,1230,0.01%,36.46,1.33
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2019,2019,1241,0.01%,36.55,1.38
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2020,2020,1248,0.01%,36.49,1.36
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2021,2021,1324,0.01%,36.46,1.34
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2022,2022,1310,0.01%,36.48,1.32
Alabama,1,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2023,2023,1350,0.01%,36.52,1.37
